transaction_id,auth_code,card_id,account_id,merchant_id,merchant_name,mcc,amount,currency,entry_mode,pos_country,event_ts,response_code,event_type,dispute_reason_code,merchant_fraud_rate_lifetime,card_txn_count_next_24h
T210000000000,A21002266403,C0023130,AC0011565,M0000,WALMART,5411,15.85,USD,ECOM,US,2025-02-24 06:11:12,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000001,A21000061390,C0064017,AC0032008,M0000,Walmart,5411,23.2,USD,CONTACTLESS,US,2024-12-27 01:10:12,APPROVED,AUTH,NONE,0.0015372307086039057,1
T210000000002,A21000612925,C0035870,AC0017935,M0029,Att,4814,89.25,USD,CHIP,US,2024-02-21 07:36:12,APPROVED,CAPTURE,NONE,0.0013730326222380432,0
T210000000003,A21001599833,C0048183,AC0024091,M0000,PP*walmart #7781,5411,28.12,USD,CHIP,US,2024-01-03 13:59:48,APPROVED,AUTH,NONE,0.0015372307086039057,2
T210000000004,A21001906339,C0089313,AC0044656,M0006,SAMS  CLUB-2504 PLANO TX,5300,92.9,USD,ECOM,US,2025-06-14 13:57:44,APPROVED,CAPTURE,NONE,0.0015988819669801265,0
T210000000005,A21001957994,C0056603,AC0028301,M0014,Exxonmobil #4185,5541,29.74,USD,CHIP,US,2025-01-24 17:31:04,APPROVED,CAPTURE,NONE,0.0015794568706373872,0
T210000000006,A21002196464,C0102652,AC0051326,M0009,Mcdonalds,5814,25.63,USD,CONTACTLESS,US,2024-09-15 01:54:07,APPROVED,CAPTURE,NONE,0.001609937551369718,0
T210000000007,A21002580022,C0017201,AC0008600,M0000,TSYS*Walmart#8574 ARLINGT,5411,26.48,USD,CHIP,US,2025-04-04 16:01:47,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000008,A21002117866,C0078804,AC0039402,M0034,Ross Stores 6540 AUSTIN T,5651,36.7,USD,CONTACTLESS,US,2025-03-29 04:47:54,APPROVED,AUTH,NONE,0.0015292318550758734,1
T210000000009,A21002451229,C0029476,AC0014738,M0013,shell oil DENTON TX,5541,30.89,USD,SWIPE,US,2024-03-07 19:19:36,APPROVED,CAPTURE,NONE,0.0014415691835046674,0
T210000000010,A21000926612,C0033163,AC0016581,M0017,HOME DEPOT,5200,73.35,USD,SWIPE,US,2025-01-29 05:18:08,APPROVED,AUTH,NONE,0.0013315375432367076,0
T210000000011,A21002564623,C0058007,AC0029003,M0010,PP*Torchys Tacos FRISCO T,5812,22.61,USD,CHIP,US,2025-03-07 12:08:00,APPROVED,CAPTURE,NONE,0.0015759126388193634,1
T210000000012,A21002129328,C0044131,AC0022065,M0008,CHCKFL 5067,5814,9.95,USD,SWIPE,US,2024-12-25 10:49:28,APPROVED,CAPTURE,NONE,0.0015957446808510637,0
T210000000013,A21000760367,C0094931,AC0047465,M0001,Kroger FRISCO TX,5411,2.56,USD,CONTACTLESS,US,2024-09-26 11:03:52,APPROVED,AUTH,NONE,0.0014811295945980337,0
